deck_id,owner_player,player,deck_name_normalized,display_name,official_name,commander_name,moxfield_url,archidekt_url,edhrec_url,first_played,last_played,games_played,wins,notes,aliases,variants,win_rate
andres--5-colores,Andrés,Andrés,5 Colores,5 Colores,5 fakin colors,"Jenson Carthalion, Druid Exile",https://moxfield.com/decks/qFXpa593BUWIwdOzto8rDg,,,2026-03-03,2026-03-26,3,0,,"[""5colores""]",[],0.0
andres--aranas-ungoliant,Andrés,Andrés,Arañas/Ungoliant,Arañas/Ungoliant,,,,,,2026-03-03,2026-03-03,1,1,,"[""arañasungoliant""]",[],1.0
andres--auntie,Andrés,Andrés,Auntie,Auntie,Blight Curse (Lorwyn Eclipsed Commander Precon Decklist),"Auntie Ool, Cursewretch",https://moxfield.com/decks/wZCqAM_hbEu-TrzZcSpFtw,,,2026-01-21,2026-02-16,7,1,,"[""auntie""]",[],0.1429
andres--auntie,Andrés,Jairo,Auntie,Auntie,Blight Curse (Lorwyn Eclipsed Commander Precon Decklist),"Auntie Ool, Cursewretch",https://moxfield.com/decks/wZCqAM_hbEu-TrzZcSpFtw,,,2026-01-21,2026-01-21,1,0,,"[""auntie""]",[],0.0
andres--chaos,Andrés,Andrés,Chaos,Chaos,,,,,,2026-01-19,2026-02-15,2,0,,"[""chaos""]",[],0.0
andres--counters,Andrés,Andrés,Counters,Counters,Counter Intelligence (Edge of Eternities Commander Precon Decklist),"Optimus Prime, Hero // Optimus Prime, Autobot Leader",https://moxfield.com/decks/Xp2se19l60-83ug1gUME8g,,,2026-01-08,2026-01-08,3,0,,"[""counters(precon)"", ""counterscounters(precon)""]","[""Precon""]",0.0
andres--eldrazis,Andrés,Andrés,Eldrazis,Eldrazis,,,,,,2026-01-22,2026-07-25,5,1,,"[""eldrazis"", ""eldrazis(precon)"", ""Eldrazisprecon""]","[""Precon""]",0.2
andres--eldrazis-colores,Andrés,Andrés,Eldrazis Colores,Eldrazis Colores,,,,,,2026-02-09,2026-02-12,4,1,,"[""eldrazicolor"", ""eldraziscolores""]",[],0.25
andres--elnazis,Andrés,Andrés,Elnazis,Elnazis,,,,,,2026-01-11,2026-01-11,2,1,Separado manualmente de Eldrazis; alias Eldrazis Caro.,"[""elnazis"", ""elnazis(eldrazis caro)""]","[""Caro""]",0.5
andres--espiritus,Andrés,Andrés,Espíritus,Espíritus,,,,,,2026-07-10,2026-07-10,1,0,,"[""espiritus""]",[],0.0
andres--espiritus,Andrés,Jairo,Espíritus,Espíritus,,,,,,2026-07-25,2026-07-25,1,0,,"[""espíritus""]",[],0.0
andres--gato,Andrés,Andrés,Gato,Gato,,,,,,2026-01-08,2026-07-25,5,2,,"[""gato""]",[],0.4
andres--half-life,Andrés,Andrés,Half-Life,Half-Life,,,,,,2026-01-11,2026-03-03,21,8,,"[""halflife"", ""helflife""]",[],0.381
andres--mono-blue-pero-nel,Andrés,Andrés,Mono Blue Pero Nel,Mono Blue Pero Nel,,,,,,2026-02-22,2026-02-22,1,1,,"[""monoblueperonel""]",[],1.0
andres--nekusar,Andrés,Andrés,Nekusar,Nekusar,,,,,,2026-04-16,2026-04-16,1,0,,"[""nekuzar""]",[],0.0
andres--octopus-lady,Andrés,Andrés,Octopus Lady,Octopus Lady,,,,,,2026-02-22,2026-07-26,6,2,,"[""Octolady"", ""octolady"", ""octopus girl"", ""octupus lady""]",[],0.3333
andres--omnath-locus-of-mana,Andrés,Andrés,"Omnath, Locus of Mana","Omnath, Locus of Mana",,,,,,2026-04-16,2026-04-16,1,0,,"[""omnathlocusmana""]",[],0.0
andres--osos,Andrés,Andrés,Osos,Osos,,,,,,2026-02-22,2026-02-22,1,1,,"[""osos""]",[],1.0
andres--robin,Andrés,Andrés,Robin,Robin,,,,,,2026-01-19,2026-01-19,1,0,,"[""robin""]",[],0.0
andres--tortugas,Andrés,Andrés,Tortugas,Tortugas,,,,,,2026-07-10,2026-07-10,1,1,,"[""tortugas""]",[],1.0
andres--vivi,Andrés,Andrés,Vivi,Vivi,,,,,,2026-01-21,2026-07-25,7,3,,"[""Vivi"", ""vivi"", ""viví""]",[],0.4286
chepe--aerith,Chepe,Chepe,Aerith,Aerith,,,,,,2026-01-11,2026-02-16,4,1,,"[""aerith""]",[],0.25
chepe--azula,Chepe,Chepe,Azula,Azula,,,,,,2026-02-13,2026-02-13,1,0,,"[""Azula""]",[],0.0
chepe--bulk-artifacts,Chepe,Chepe,Bulk Artifacts,Bulk Artifacts,,,,,,2026-01-08,2026-02-16,4,1,,"[""bulk(artefactos sami)"", ""bulkartifacts""]",[],0.25
chepe--cloud,Chepe,Chepe,Cloud,Cloud,,,,,,2026-02-16,2026-02-16,1,0,,"[""Cloud""]",[],0.0
chepe--cloud,Chepe,Jairo,Cloud,Cloud,,,,,,2026-01-30,2026-01-30,1,0,,"[""cloud""]",[],0.0
chepe--counters-weird,Chepe,Jairo,CountersWeird,CountersWeird,,,,,,2026-02-10,2026-02-10,1,0,,"[""countersweird""]",[],0.0
chepe--destroy,Chepe,Chepe,Destroy,Destroy,,,,,,2026-01-19,2026-01-19,1,0,,"[""destroy""]",[],0.0
chepe--dragones,Chepe,Chepe,Dragones,Dragones,,,,,,2026-01-21,2026-07-10,5,3,,"[""Dragones"", ""dragones""]",[],0.6
chepe--dragones,Chepe,Jairo,Dragones,Dragones,,,,,,2026-01-08,2026-01-08,1,0,,"[""dragones(Jairo)""]",[],0.0
chepe--edea,Chepe,Chepe,Edea,Edea,,,,,,2026-02-09,2026-02-09,1,1,,"[""edea""]",[],1.0
