game_id,event_order,event_type,actor,target,method,notes,explicitness
G2026-040,1,concession,Jairo,Jairo,concession,Jairo se rinde.,explicit
G2026-040,2,elimination,Andres,Chepe,unspecified,Andres mata a Chepe.,explicit
G2026-041,1,elimination,Chepe,Andres,mill,Ambos matados por Chepe vía mill.,explicit
G2026-041,2,elimination,Chepe,Jairo,mill,Ambos matados por Chepe vía mill.,explicit
G2026-042,1,elimination,Andres,Chepe,combat_damage,Ambos matados por Andres vía combat damage.,explicit
G2026-042,2,elimination,Andres,Jairo,combat_damage,Ambos matados por Andres vía combat damage.,explicit
G2026-043,1,elimination,Chepe,Jairo,unspecified,Chepe mató a Jairo.,explicit
G2026-043,2,elimination,Andres,Chepe,unspecified,Andres mató a Chepe.,explicit
G2026-044,1,elimination,Jairo,Andres,unspecified,Jairo mató a Andres.,explicit
G2026-044,2,elimination,Chepe,Jairo,combat_damage,Chepe mató a Jairo con 8 dragones +8/+8.,explicit
G2026-045,1,elimination,Jairo,Chepe,direct_damage,Daño directo por disparos al morir.,explicit
G2026-045,2,elimination,Jairo,Andres,direct_damage,Daño directo por disparos al morir.,explicit
G2026-046,1,self_elimination,Andres,Andres,life_loss,Andres se mató por perder vida.,explicit
G2026-046,2,elimination,Chepe,Jairo,combat_damage,Con un flying grande.,explicit
G2026-047,1,elimination,Jairo,Chepe,unspecified,Jairo mata a ambos.,explicit
G2026-047,2,elimination,Jairo,Andres,unspecified,Jairo mata a ambos.,explicit
G2026-048,1,elimination,Andres,Chepe,unspecified,Andres mata a ambos.,explicit
G2026-048,2,elimination,Andres,Jairo,unspecified,Andres mata a ambos.,explicit
G2026-049,1,elimination,Andres,Chepe,commander_damage,Andres mata a Chepe por commander damage.,explicit
G2026-049,2,elimination,Jairo,Andres,unspecified,Jairo mata a Andres.,explicit
G2026-050,1,elimination,Jairo,Chepe,combat_damage,Todo era 10/10.,explicit
G2026-050,2,elimination,Jairo,Andres,combat_damage,Todo era 10/10.,explicit
G2026-051,1,nuke,Andres,,nuke,Hubo Nuke de Andres.,explicit
G2026-051,2,elimination,Chepe,Andres,commander_damage,,explicit
G2026-051,3,elimination,Jairo,Chepe,direct_damage,,explicit
G2026-052,1,elimination,Jairo,Chepe,combat_damage,,explicit
G2026-052,2,elimination,Jairo,Andres,combat_damage,,explicit
G2026-053,1,elimination,Andres,Chepe,commander_damage,,explicit
G2026-053,2,elimination,Andres,Jairo,combat_damage,,explicit
G2026-054,1,sol_ring_turn_1,Chepe,,sol_ring_turn_1,Sol Ring turno 1.,explicit
G2026-054,2,elimination,Chepe,Jairo,combat_damage,,explicit
G2026-054,3,elimination,Chepe,Andres,combat_damage,,explicit
G2026-055,1,elimination,Andres,Jairo,token_damage,,explicit
G2026-055,2,elimination,Andres,Chepe,token_damage,,explicit
G2026-058,1,elimination,Chepe,Jairo,direct_damage,,explicit
G2026-058,2,elimination,Chepe,Andres,direct_damage,,explicit
G2026-059,1,concession,Jairo,Jairo,concession,Jairo se rinde.,explicit
G2026-061,1,elimination,Andres,Jairo,combat_damage,«big dick damage» en la fuente.,explicit
G2026-061,2,elimination,Andres,Chepe,combat_damage,«big dick damage» en la fuente.,explicit
G2026-062,1,elimination,Andres,Chepe,unspecified,«Andres es rata y mata a Chep».,explicit
G2026-062,2,elimination,Chepe,Jairo,unspecified,Chepe mata a Jairo.,explicit
G2026-063,1,concession,Jairo,Jairo,concession,Ambos se rindieron.,explicit
G2026-063,2,concession,Andres,Andres,concession,Ambos se rindieron.,explicit
G2026-075,1,elimination,Chepe,Andres,direct_damage,Dano por draw,explicit
G2026-075,2,concession,Cris,Cris,concession,Se rinde por estar harto de la partida,explicit
G2026-075,3,nuke,Chepe,,nuke,Nuke registrado por Chepe.,explicit
G2026-076,1,elimination,Chepe,Jairo,direct_damage,Platas con 189 de dmg,explicit
G2026-076,2,elimination,Andres,Chepe,direct_damage,Eldrazi 56/56,explicit
G2026-076,3,nuke,Chepe,,nuke,Promise of Loyalty,explicit
