game_id,date,location,player_count,result_type,winner_player,winner_raw,starting_player,start_time,end_time,duration_minutes,win_condition_category,win_condition_text,nuke_recorded,nuke_player,sol_ring_t1_recorded,sol_ring_t1_player,parse_confidence,needs_review,notes,source_line,raw_line
G2026-001,2026-01-08,in_person,3,win,Jairo,jairo,,,,,,,,,,,high,false,,2,volo jairo counters(precon) andres bulk(artefactos sami) chepe / gano jairo
G2026-002,2026-01-08,in_person,3,win,Chepe,chep,,,,,,,,,,,high,false,,3,graveyard jairo counters(precon) Andres bulk(artefactos sami) chepe  / chep gano
G2026-003,2026-01-08,in_person,4,win,Paniagua,panigua,,,,,,,,,,,medium,true,Se infiere que Counters era de Andrés y que «Panigua» corresponde a Paniagua.,4,graveyard Jairo counterscounters(precon) bulk(artefactos sami) chepe dinosaurios(Pani) / gano panigua
G2026-004,2026-01-08,in_person,4,win,Chepe,chepe,,,,,,,,,,,high,false,,5,dinos(Pani) dragones(Jairo) gato andres Sauron chepe / gano chepe
G2026-005,2026-01-11,virtual,3,win,Chepe,chep,,,,,,,,,,,high,false,,7,virtual / aerith chepe halflife andres rata(vehiculos) jairo/ chep
G2026-006,2026-01-11,virtual,3,win,Chepe,chep,,,,,,,,,,,high,false,,8,virtual / yuna chepe halflife andres rata(vehic) jairo / chep
G2026-007,2026-01-11,virtual,3,win,Andrés,andres,,,,,,,,,,,high,false,,9,virtual / iroh jairo jingitaxias chep elnazis(eldrazis caro) andres / andres
G2026-008,2026-01-11,virtual,3,win,Jairo,jairo,,,,,,,,,,,medium,true,La línea omite nombres de jugador después de «jin» y «elnazis»; se asignan a Chepe y Andrés por contexto.,10,virtual / yuna(jairo ver) jairo jin elnazis / jairo
G2026-009,2026-01-19,virtual,3,win,Andrés,andres,,,,,,,,,,,high,false,,12,vir / experience Chep iroh jairo halflife andres / andres
G2026-010,2026-01-19,virtual,3,win,Jairo,jairo,,,,,,,,,,,high,false,,13,vir / destroy chep scry jairo  chaos  andres/ jairo
G2026-011,2026-01-19,virtual,3,win,Chepe,chep,,,,,,,,,,,high,false,,14,vir / sephiroth chep unknown jairo robin andres / chep
G2026-012,2026-01-19,virtual,3,win,Jairo,jairo,,,,,,,,,,,high,false,,15,vir / kithkin jairo phyrexia chep halflife andres / jairo
G2026-013,2026-01-21,in_person,3,win,Andrés,andres,,,,,,,,,,,high,false,,17,dragones chepe dinos jairo gato andres / andres
G2026-014,2026-01-21,in_person,3,win,Chepe,chep,,,,,,,,,,,high,false,,18,elementals chepe / auntie andres / graveyard jairo / gano chep
G2026-015,2026-01-21,in_person,3,win,Chepe,chepe,,,,,,,,,,,high,false,,19,elementtals chepe / auntie jairo / vivi andres / chepe
G2026-016,2026-01-22,in_person,3,win,Chepe,chepe,,,,,,,,,,,high,false,,21,Dragones chepe viví andres marneus jairo / chepe
G2026-017,2026-01-22,in_person,3,win,Chepe,chepe,,,,,,,,,,,high,false,,22,Elementals chepe eldrazis(precon) andres iroh jairo / chepe
G2026-018,2026-01-22,in_person,3,win,Andrés,andres,,,,,,,,,,,high,false,,23,Eldrazisprecon andres lands chepe marneus jairo / andres
G2026-019,2026-01-22,in_person,3,win,Jairo,jairo,,,,,,,,,,,high,false,,24,Volo jairo elementales chepe gato andres / jairo
G2026-020,2026-01-22,in_person,3,win,Andrés,andres,,,,,,,,,,,high,false,,25,volo jairo elementals chepe gato andres / andres
G2026-021,2026-01-30,in_person,3,win,Jairo,jairo,,,,,,,,,,,high,false,,27,tidus chepe auntie andres dinos Jairo / jairo
G2026-022,2026-01-30,in_person,3,draw,,empate,,,,,,,,,,,high,false,,28,auntie andres iroh jairo jeskai cehpe / empate
G2026-023,2026-01-30,in_person,3,win,Andrés,andres,,,,,,,,,,,high,false,,29,Iroh andres aerith chepe cloud jairo / andres
G2026-024,2026-01-30,in_person,3,win,Andrés,Andrés,,,,,,,,,,,high,false,,30,Marneus jairo auntie andres aerith chepe / Andrés
G2026-025,2026-01-30,in_person,3,win,Chepe,chep,,,,,,,,,,,high,false,,31,Elementals chepe eldrazis andres graveyard jairo / chep
G2026-026,2026-01-31,virtual,3,win,Jairo,jairo,,,,,,,,,,,high,false,,33,virtual / phyrexians chepe halflife andres conejos jairo / jairo
G2026-027,2026-01-31,virtual,3,win,Jairo,jairo,,,,,,,,,,,high,false,,34,vir / phyrexians chepe sokkasuki jairo halflife andres /  jairo
G2026-028,2026-01-31,virtual,3,win,Chepe,chep,,,,,,,,,,,high,false,,35,vir / phyrexians chepe iroh jairo halflife andres /  chep
G2026-029,2026-02-02,virtual,3,win,Jairo,jairo,,,,,,,,,,,high,false,,37,vir / experience chepe halflife andres iroh jairo / jairo
G2026-030,2026-02-02,virtual,3,win,Andrés,halflife,,,,,,,,,,,medium,false,El ganador se escribió como el nombre del deck «halflife»; se resuelve a Andrés.,38,vir / experience chepe halflife andres conejos jairo / halflife
G2026-031,2026-02-02,virtual,3,win,Chepe,chepe,,,,,,,,,,,high,false,,39,vir / yuna chepe halflife andres attractions jairo / chepe
G2026-032,2026-02-04,virtual,3,win,Andrés,andres,,,,,,,,,,,high,false,,41,vir / experience chepe iroh jairo halflife andres / andres
G2026-033,2026-02-04,virtual,3,win,Jairo,jairo,,,,,,,,,,,high,false,,42,vir / esix chepe equipsjairo jairo halflife andres / jairo
G2026-034,2026-02-09,virtual,3,win,Jairo,jairo,,,,,,,,,,,high,false,,44,vir / iroh jairo eldraziscolores andres shadowdillas chepe / jairo
G2026-035,2026-02-09,virtual,3,win,Chepe,chepe,,,,,,,,,,,high,false,,45,vir / iroh jairo eldraziscolores andres edea chepe / chepe
G2026-036,2026-02-10,virtual,3,win,Andrés,andres,,,,,,,,,,,high,false,,47,countersweird jairo shadowdillas chepe halflife andres / andres
G2026-037,2026-02-10,virtual,3,win,Jairo,jairo,,,,,,,,,,,high,false,,48,tifa chepe rata jairo halflife andres / jairo
G2026-038,2026-02-10,virtual,3,win,Andrés,andres,,,,,,,,,,,high,false,,49,tifa chepe rata jairo halflife andres / andres
G2026-039,2026-02-10,virtual,3,win,Chepe,chep,,,,,,,,,,,high,false,,50,jinsakai chepe iroh jairo halflife andres / chep
G2026-040,2026-02-12,virtual,3,win,Andrés,andres,Andrés,,,,last_player_standing,Jairo se rindió; Andrés mató a Chepe.,,,,,high,false,,52,jinsakai chepe eldraziscolores adnres iroh jairo / andres empezo / jairo se rinde andres mata a chep / andres
G2026-041,2026-02-12,virtual,3,win,Chepe,chepe,Chepe,3:03,4:05,62,mill,Chepe eliminó a ambos por mill.,,,,,high,false,,53,empezo chep / 3:03-4:05 / eldrazicolor andres jinsakai chepe sokkasuki jairo / ambos matados por chep via mill / chepe
G2026-042,2026-02-12,virtual,3,win,Andrés,andres,Andrés,4:10,4:46,36,combat_damage,Andrés eliminó a ambos por daño de combate.,,,,,high,false,,54,empezo andres / 4:10-4:46 / yunachepe halflife andres jairoverdeverde jairo / ambos matados por andres via combat dmg / andres
G2026-043,2026-02-13,in_person,3,win,Andrés,andres,Chepe,6:13,7:30,77,tokens,Andrés ganó por tokens.,,,,,high,false,,56,"6:13 7:30 / empecé chep / Azula chepe viví andres marneus jairo /chepe mate Jairo, Andrés a chepe, gana por tokens andres / andres"
G2026-044,2026-02-13,in_person,3,win,Chepe,chep,Jairo,7:37,8:40,63,combat_damage,Chepe ganó con ocho dragones muy grandes.,,,,,high,false,,57,"7:37 8:40 / empezó Jairo/ vivi Andres maerneus jairo dragones chepe / Jairo mató a Andrés, chepe a Jairo con 8 dragones +8+8 / ganó chep"
G2026-045,2026-02-13,in_person,3,win,Jairo,jairo,Jairo,8:45,9:59,74,direct_damage,Jairo eliminó a ambos por daño directo al morir criaturas.,,,,,high,false,,58,8:45 9:59 / empezó Jairo/ Sauron(nuevocommander) chepe auntie andres Magnus jairo /Jairo mató a ambos por daño directo cuando se mueren mete daño / jairo
G2026-046,2026-02-15,virtual,3,win,Chepe,chepe,Andrés,5:58,6:53,55,combat_damage,Andrés se eliminó por pérdida de vida; Chepe eliminó a Jairo con una criatura voladora grande.,,,,,high,false,,60,"5:58 - 6:53 / empezo andres / conejosjairo halflife andres jin skaai chepe / andres se mato por perder vida, cchep mata a jairo con un flying big/big / chepe"
G2026-047,2026-02-15,virtual,3,win,Jairo,jairo (inferido),Jairo,6:56,7:15,19,eliminated_all,Jairo mató a ambos.,,,,,medium,false,,61,6:56 7:15 / inicia jairo / jin gitaxias chepe winota jairo halflife andres / jairo mata a ambos
G2026-048,2026-02-15,virtual,3,win,Andrés,andres (inferido),Jairo,7:23,7:38,15,eliminated_all,Andrés mató a ambos.,,,,,medium,false,,62,7:23 7:38 / inicia jairo / jin gitaxias chepe winota jairpo halflife andres / andres mata a ambos
G2026-049,2026-02-15,virtual,3,win,Jairo,jairo,Andrés,7:43,8:30,47,last_player_standing,Andrés eliminó a Chepe por daño de comandante; Jairo eliminó a Andrés.,,,,,medium,true,,63,"7:43 8:30 / inicia andres / rocco chepe Jairo iroh chaos andres / andrse mata a chep commander damage, jairo mata a andres / jairo"
G2026-050,2026-02-16,in_person,3,win,Jairo,jairo (inferido),Jairo,2:18,3:19,61,combat_damage,Jairo mató a ambos cuando todas sus criaturas eran 10/10.,,,,,medium,false,,65,2:18 3:19 / Jairo empieza / bulkartifacts chepe auntie andres marneus jairo/ Jairo mata a ambos por que todo es un 10/10
G2026-051,2026-02-16,in_person,3,win,Jairo,jairo (inferido),Chepe,3:22,4:20,58,direct_damage,Chepe eliminó a Andrés por daño de comandante; Jairo eliminó a Chepe por daño directo.,true,Andrés,,,medium,false,,66,"3:22 4:20 / chep empieza / iroh jairo tidus chepe auntie andres / hubo Nuke de andres / Chep mata Andres por commander damage, Jairo a chep por directo damage"
G2026-052,2026-02-16,in_person,3,win,Jairo,jairo (inferido),Chepe,4:25,5:01,36,combat_damage,Jairo eliminó a Chepe y Andrés por daño de combate.,,,,,medium,false,,67,4:25 5:01 / chep empieza / Vivi andres volo(nerfed ver.) jairo aerith chepe / Jairo mata a chep y a Andrés por combat damage
G2026-053,2026-02-16,in_person,3,win,Andrés,andres,Andrés,5:02,5:52,50,combat_damage,Andrés eliminó a Chepe por daño de comandante y a Jairo por daño de combate.,,,,,high,false,,68,"5:02 5:52 empieza Andrés/ Cloud chepe viví Andres dinos jairo / Andrés mata a chep por commander damage, andres a Jairo por combat damage / gana andres"
G2026-054,2026-02-16,in_person,3,win,Chepe,chepe (inferido),Chepe,5:57,6:20,23,combat_damage,Chepe eliminó a ambos por daño de combate.,,,true,Chepe,medium,false,,69,5:57 6:20 ch3p empieza / sol ring turno 1 chep/ dragones chepe graveyard jairo eldrazis andres / chepe mata a ambos por combat damage
G2026-055,2026-02-22,virtual,3,win,Andrés,andres (inferido),Jairo,6:34,7:48,74,tokens,Andrés eliminó a ambos con mucho daño de tokens.,,,,,medium,false,,71,jairo empieza 6:34 7:48 / mabelmouses jairo  vanilletutors chepe  monoblueperonel andres / andres mata ambos por muhco token damage
G2026-056,2026-02-22,virtual,3,win,Chepe,chep,Chepe,8:00,9:11,71,tokens,Chepe ganó con tokens grandes.,,,,,high,false,,72,8-9:11 chep empieza / iroh Jairo octopus girl andres pajaros chepe/ chep gana por tokens big a todos
